行业,头腰尾,公司名称,公司主名,规模,员工人数,岗位,在职人数,平均在职天数,平均年收入,平均工作数,城市,企业工商类型,企业性质：国企，央企，外企,成立日期
企业数字化服务,尾部,北京安普诺信息技术有限公司,悬镜安全,100-500人,0,,0,0.0,0.0,0.0,北京市,,,1970-01-01
纯互联网,尾部,义乌微锐网络科技有限公司河西分公司,义乌微锐网络科技有限公司河西分公司,,0,,0,0.0,0.0,0.0,,,,1970-01-01
纯互联网,尾部,北京格非视频科技发展有限公司,北京格非视频科技发展有限公司,50~100人,0,,0,0.0,0.0,0.0,北京市,,,1970-01-01
智能硬件,尾部,深圳市德兰明海科技有限公司,深圳市德兰明海新能源股份有限公司,1000~10000人,0,数据分析,2,2389.0,322961.3333333333,2.0,深圳市,,,1970-01-01
纯互联网,尾部,上海摩普网络技术有限公司,上海摩普网络技术有限公司,50人以内,0,,0,0.0,0.0,0.0,上海市,,,1970-01-01
电子商务&新零售,尾部,深圳市健策电子有限公司,深圳市健策电子有限公司,50人以内,0,,0,0.0,0.0,0.0,深圳市,,,1970-01-01
纯互联网,尾部,有线电视服务有限公司,有线电视服务有限公司,,0,,0,0.0,0.0,0.0,锦州市,,,1970-01-01
纯互联网,尾部,深圳市光联世纪信息科技有限公司,深圳市光联世纪信息科技有限公司,100~500人,0,,0,0.0,0.0,0.0,深圳市,,,1970-01-01
新生物医药,尾部,浙江仙居君业药业有限公司,浙江仙居君业药业有限公司,500~1000人,0,,0,0.0,0.0,0.0,台州市,,,1970-01-01
电子商务&新零售,尾部,上海悠络客电子科技股份有限公司,上海悠络客电子科技股份有限公司,100~500人,0,,0,0.0,0.0,0.0,上海市,,,1970-01-01
新生物医药,尾部,烟台正海生物科技股份有限公司,烟台正海生物科技股份有限公司,100~500人,0,,0,0.0,0.0,0.0,烟台市,,,1970-01-01
电子商务&新零售,尾部,广州麦和信息科技有限公司,广州麦和信息科技有限公司,100~500人,0,,0,0.0,0.0,0.0,广州市,,,1970-01-01
人工智能,腰部,标贝(青岛)科技有限公司,标贝(北京)科技有限公司,100-500人,0,,0,0.0,0.0,0.0,北京市,有限责任公司(自然人投资或控股),,2016-02-29
电子商务&新零售,尾部,深圳南洋码头网络科技有限公司,深圳市南洋码头网络科技有限公司,50~100人,0,,0,0.0,0.0,0.0,深圳市,,,1970-01-01
智能硬件,腰部,杭州行至云起科技有限公司,LifeSmart云起,100-500人,0,,0,0.0,0.0,0.0,浙江省杭州市萧山区悦盛国际中心22楼,有限责任公司(自然人投资或控股),,2011-08-04
新能源,尾部,江苏爱康绿色家园科技有限公司,江苏爱康绿色家园科技有限公司,50人以内,0,,0,0.0,0.0,0.0,苏州市,,,1970-01-01
新生物医药,尾部,北京世纪元亨动物防疫技术有限公司,北京世纪元亨动物防疫技术有限公司,50~100人,0,,0,0.0,0.0,0.0,北京市,,,1970-01-01
纯互联网,尾部,成都光恒互动科技有限公司,光恒互动,50~100人,0,,0,0.0,0.0,0.0,成都市,,,1970-01-01
电子商务&新零售,尾部,东方丝路（深圳）科技有限公司,ESR亿色,100~500人,0,数据分析,0,2947.0,301987.0,2.0,深圳市,,,1970-01-01
新生物医药,尾部,上海隆耀生物科技有限公司,上海隆耀生物科技有限公司,50人以内,0,,0,0.0,0.0,0.0,上海市,,,1970-01-01
企业数字化服务,尾部,中电普信（北京）科技发展有限公司,中电普信（北京）科技发展有限公司,50~100人,0,,0,0.0,0.0,0.0,北京市,,,1970-01-01
新生物医药,尾部,北京永泰生物制品有限公司,北京永泰生物制品有限公司,100~500人,0,,0,0.0,0.0,0.0,北京市,,,1970-01-01
电子商务&新零售,尾部,聚米网络科技有限公司,聚米网络科技有限公司,,0,,0,0.0,0.0,0.0,重庆,,,1970-01-01
纯互联网,尾部,湖南星谷网络科技有限公司,小U管家,100~500人,0,,0,0.0,0.0,0.0,长沙市,,,1970-01-01
纯互联网,尾部,北京瀚华网络科技有限公司,瀚华,50人以内,0,,0,0.0,0.0,0.0,北京市,,,1970-01-01
游戏,尾部,深圳趣运科技有限公司,深圳趣运科技有限公司,50人以内,0,,0,0.0,0.0,0.0,深圳市,,,1970-01-01
企业数字化服务,尾部,康博嘉信息科技（北京）股份有限公司武汉分公司,康博嘉信息科技（北京）股份有限公司武汉分公司,50~100人,0,,0,0.0,0.0,0.0,武汉市,,,1970-01-01
企业数字化服务,尾部,北京捷信博远科技有限公司,北京捷信博远科技有限公司,50人以内,0,,0,0.0,0.0,0.0,北京市,,,1970-01-01
纯互联网,尾部,上海行田电产有限公司,上海行田电产有限公司,100~500人,0,,0,0.0,0.0,0.0,上海市,,,1970-01-01
游戏,尾部,上海召合网络科技有限公司,召合网络,50人以内,0,,0,0.0,0.0,0.0,上海市,,,1970-01-01
新能源汽车,尾部,费尼亚德尔福汽车系统（烟台）有限公司,博格华纳燃油系统（烟台）有限公司,500~1000人,0,,0,0.0,0.0,0.0,烟台市,,,1970-01-01
企业数字化服务,尾部,北京中安星云软件技术有限公司,中安星云,50~100人,0,,0,0.0,0.0,0.0,北京市,,,1970-01-01
纯互联网,尾部,广州万物有翼科技有限公司,万物有翼科技,50~100人,0,,0,0.0,0.0,0.0,广州市,,,1970-01-01
纯互联网,尾部,盈世信息科技（北京）有限公司,盈世科技,100~500人,0,数据分析,1,2217.0,,1.0,北京市,,,1970-01-01
纯互联网,尾部,天津千帆互动网络技术股份有限公司,千帆互动,100~500人,0,,0,0.0,0.0,0.0,天津市,股份有限公司,,2012-05-24
纯互联网,尾部,北京信柏信息科技有限公司,信柏,100~500人,0,数据分析,1,6600.0,354774.0,1.0,北京市,,,1970-01-01
智能硬件,尾部,众泰汽车股份有限公司,众泰汽车杭州事业部,1000~10000人,0,,0,0.0,0.0,0.0,金华市,,,1970-01-01
纯互联网,尾部,北京问日科技有限公司,问日科技,100~500人,0,,0,0.0,0.0,0.0,北京市,有限责任公司(自然人投资或控股),,2008-07-01
纯互联网,腰部,北京指掌易科技有限公司,指掌易,100~500人,0,数据分析,1,4379.0,770000.0,1.0,北京市,有限责任公司(自然人投资或控股),,2013-11-18
企业数字化服务,腰部,同盾科技有限公司,同盾科技,1000~10000人,1000,数据分析,40,3271.068181818182,481204.85,1.5416666666666667,浙江·杭州,私营有限责任公司(自然人控股或私营性质企业控股),,2012-10-10
电子商务&新零售,尾部,成都丽维家科技有限公司,丽维家,100~500人,0,,0,0.0,0.0,0.0,成都市,,,1970-01-01
电子商务&新零售,腰部,北京美丽时空网络科技有限公司,北京美丽时空网络科技有限公司,100~500人,0,,0,0.0,0.0,0.0,北京市,有限责任公司(自然人投资或控股),,2010-07-06
智能硬件,腰部,锤子科技（北京）股份有限公司,锤子科技,100~500人,0,数据分析,0,5290.0,245000.0,2.0,成都市,股份有限公司(非上市、自然人投资或控股),,2012-05-28
新金融科技,尾部,四川易贷网金融信息服务有限公司,易贷网,1000~10000人,0,,0,0.0,0.0,0.0,成都市,有限责任公司(自然人投资或控股),,2014-12-24
纯互联网,尾部,四川优客投资管理有限公司,优客逸家,500~1000人,0,,0,0.0,0.0,0.0,成都市,有限责任公司(自然人投资或控股),,2012-02-21
智能硬件,腰部,鸿合科技股份有限公司,鸿合科技,1000~10000人,2850,,0,0.0,0.0,0.0,北京市,,,1970-01-01
纯互联网,尾部,捷成华视网聚（常州）文化传媒有限公司,华视网聚,100~500人,0,,0,0.0,0.0,0.0,常州市,有限责任公司（自然人投资或控股的法人独资）,,1970-01-01
纯互联网,尾部,深圳市还原美美容管理顾问有限公司,还原美公司,50人以内,0,数据分析,1,,367500.0,1.0,深圳市,,,1970-01-01
纯互联网,腰部,探探科技（北京）有限公司,探探,100~500人,500,数据分析,12,2587.176470588235,426802.5,2.0588235294117645,北京市,有限责任公司(台港澳法人独资),,2015-03-06
新生物医药,尾部,湖南恒昌医药有限公司,恒昌医药,100~500人,0,,0,0.0,0.0,0.0,长沙市,有限责任公司(自然人投资或控股),,2015-01-20
企业数字化服务,尾部,深圳市朗驰欣创科技股份有限公司,朗驰欣创,50~100人,0,,0,0.0,0.0,0.0,深圳市,,,1970-01-01
人工智能,尾部,象辑科技股份有限公司,象辑科技,100~500人,0,,0,0.0,0.0,0.0,北京·海淀区,,,1970-01-01
纯互联网,尾部,小糊涂优服（北京）信息技术股份有限公司,诸葛修车网,50人以内,0,,0,0.0,0.0,0.0,北京市,,,1970-01-01
新能源汽车,腰部,东软睿驰汽车技术（沈阳）有限公司,东软睿驰,500~1000人,0,数据分析,1,8791.0,352940.0,1.0,上海市,有限责任公司（非自然人投资或控股的法人独资）,,2015-11-13
纯互联网,尾部,北京鑫台华科技有限公司,北京鑫台华科技有限公司,100~500人,0,,0,0.0,0.0,0.0,北京市,有限责任公司(自然人投资或控股),,2000-04-12
纯互联网,尾部,北京铭软云视科技有限公司,北京铭软云视科技有限公司,100~500人,0,,0,0.0,0.0,0.0,北京市,其他有限责任公司,,2013-11-18
纯互联网,尾部,北京世纪汇杰科技有限公司,世纪汇杰,50~100人,0,,0,0.0,0.0,0.0,北京市,,,1970-01-01
人工智能,尾部,北京中农信达信息技术有限公司,北京中农信达信息技术有限公司,1000~10000人,5000,数据分析,1,2763.5,290773.0,1.0,北京市,,,1970-01-01
纯互联网,尾部,北京诚行天下投资咨询有限公司,多赚,50人以内,0,,0,0.0,0.0,0.0,北京市,,,1970-01-01
人工智能,尾部,杭州数美科技有限公司,杭州数美科技,100~500人,0,数据分析,2,2004.0,192668.0,1.3333333333333333,杭州市,一人有限责任公司(私营法人独资),,2017-04-10
人工智能,腰部,深思考人工智能机器人科技（北京）有限公司,深思考人工智能,50~100人,0,,0,0.0,0.0,0.0,北京市,,,1970-01-01
新能源汽车,尾部,力帆实业（集团）股份有限公司,力帆实业,1万人以上,0,,0,0.0,0.0,0.0,重庆市,股份有限公司(上市公司),,1997-12-01
电子商务&新零售,尾部,福建悠悠电子商务有限公司,悠悠电子,100~500人,0,,0,0.0,0.0,0.0,福州市,,,1970-01-01
新生物医药,尾部,上海泽润生物科技有限公司,上海泽润生物科技有限公司,100~500人,0,,0,0.0,0.0,0.0,上海市,,,1970-01-01
新能源汽车,尾部,中国重汽集团成都王牌商用车有限公司,中国重汽集团成都王牌商用车有限公司,1000~10000人,2000,,0,0.0,0.0,0.0,成都市,,,1970-01-01
新能源,腰部,连云港神舟新能源有限公司,连云港神舟新能源有限公司,100~500人,0,,0,0.0,0.0,0.0,连云港市,,,1970-01-01
新能源汽车,腰部,青岛中瑞汽车服务有限公司,青岛中瑞汽车服务有限公司,100~500人,0,,0,0.0,0.0,0.0,青岛市,,,1970-01-01
新能源汽车,尾部,杭州优科豪马轮胎有限公司,杭州优科豪马轮胎有限公司,1000~10000人,0,,0,0.0,0.0,0.0,杭州市,,,1970-01-01
企业数字化服务,尾部,北京易特创思科技有限公司,北京易特创思科技有限公司,50~100人,0,,0,0.0,0.0,0.0,北京市,,,1970-01-01
新能源,尾部,北京中科信电子装备有限公司,北京中科信,50~100人,0,,0,0.0,0.0,0.0,北京市,,,1970-01-01
纯互联网,尾部,上海热线信息网络有限公司,上海热线,50~100人,0,,0,0.0,0.0,0.0,上海市,,,1970-01-01
新生物医药,头部,山东新华制药股份有限公司,山东新华制药,1000~10000人,6533,数据分析,0,5443.0,,1.0,淄博市,,,1970-01-01
新生物医药,尾部,杭州谱可检测技术有限公司,杭州谱可检测技术有限公司,100~500人,0,,0,0.0,0.0,0.0,杭州市,,,1970-01-01
新金融科技,尾部,开店宝支付服务有限公司,开店宝,100~500人,0,,0,0.0,0.0,0.0,上海市,,,1970-01-01
新能源,尾部,陕西拓日新能源科技有限公司,陕西拓日新能源科技有限公司,100~500人,0,,0,0.0,0.0,0.0,渭南市,,,1970-01-01
新生物医药,尾部,上海上药和黄医药销售有限公司,和黄药业,100~500人,0,,0,0.0,0.0,0.0,上海市,,,1970-01-01
企业数字化服务,尾部,天津中兴智联科技有限公司,天津中兴智联科技有限公司,50~100人,0,,0,0.0,0.0,0.0,天津市,,,1970-01-01
纯互联网,尾部,深圳市秒嘀科技有限公司,深圳市秒嘀科技有限公司,50人以内,0,,0,0.0,0.0,0.0,深圳市,,,1970-01-01
新能源,尾部,合肥中南光电有限公司,中南光电,100~500人,0,,0,0.0,0.0,0.0,合肥市,,,1970-01-01
人工智能,尾部,南京三宝科技集团有限公司,南京三宝,500~1000人,0,,0,0.0,0.0,0.0,南京市,股份有限公司(中外合资、上市),,1997-12-30
电子商务&新零售,尾部,广州珠江钢琴集团股份有限公司,广州珠江钢琴集团股份有限公司,100~500人,0,,0,0.0,0.0,0.0,广州市,,,1970-01-01
新能源,腰部,江苏中宇光伏科技有限公司,江苏中宇光伏科技有限公司,100~500人,0,,0,0.0,0.0,0.0,徐州市,,,1970-01-01
纯互联网,尾部,蓝米企业管理咨询有限公司,蓝米企业管理咨询有限公司,,0,,0,0.0,0.0,0.0,,,,1970-01-01
企业数字化服务,尾部,新疆航天信息有限公司,新疆航天信息,100~500人,0,,0,0.0,0.0,0.0,乌鲁木齐市,,,1970-01-01
新能源汽车,腰部,知豆电动汽车有限公司,知豆,100~500人,0,数据分析,1,,,1.0,宁波市,,,1970-01-01
电子商务&新零售,尾部,广东苏宁易购销售有限公司,广州苏宁云商销售有限公司,500~1000人,0,,0,0.0,0.0,0.0,广州市,,,1970-01-01
电子商务&新零售,尾部,久爱致和（北京）科技有限公司,久爱致和,100~500人,0,数据分析,1,2612.0,455000.0,1.5,北京市,,,1970-01-01
企业数字化服务,尾部,湖南龙通科技有限公司,湖南龙通科技有限公司,100~500人,0,数据分析,4,2679.8,415714.25,1.4,长沙市,,,1970-01-01
新能源汽车,腰部,宁波双林汽车部件股份有限公司,宁波双林汽车部件股份有限公司,500~1000人,0,,0,0.0,0.0,0.0,宁波市,,,1970-01-01
人工智能,尾部,杭州华量软件有限公司,杭州华量软件有限公司,50人以内,0,,0,0.0,0.0,0.0,杭州市,,,1970-01-01
新能源,尾部,深圳市英威腾光伏科技有限公司,深圳市英威腾光伏科技有限公司,100~500人,0,,0,0.0,0.0,0.0,深圳市,,,1970-01-01
纯互联网,尾部,名扬科技,名扬科技,50~100人,0,,0,0.0,0.0,0.0,深圳市,,,1970-01-01
电子商务&新零售,尾部,跨境电商贸易公司,易贸通,,0,数据分析,2,2398.5,1920000.0,1.0,宿迁市,,,1970-01-01
纯互联网,尾部,广州普金计算机科技股份有限公司,普金科技,50~100人,0,,0,0.0,0.0,0.0,广州市,,,1970-01-01
智能硬件,尾部,横河电机(中国)有限公司,横河电机,500~1000人,0,,0,0.0,0.0,0.0,上海市,,,1970-01-01
纯互联网,尾部,江苏网进科技股份有限公司,网进科技,100~500人,0,,0,0.0,0.0,0.0,苏州市,,,1970-01-01
电子商务&新零售,尾部,洪海龙腾电子商务有限公司,洪海龙腾电子商务有限公司,,0,,0,0.0,0.0,0.0,济南市,,,1970-01-01
纯互联网,尾部,盛达科技,盛达科技,,0,,0,0.0,0.0,0.0,赣州市,,,1970-01-01
人工智能,尾部,中新智擎科技有限公司,中新智擎,50~100人,0,,0,0.0,0.0,0.0,深圳市,,,1970-01-01
智能硬件,尾部,北京嘎嘎客信息技术有限公司,北京嘎嘎客信息技术有限公司,50人以内,0,,0,0.0,0.0,0.0,北京市,,,1970-01-01
新能源,尾部,中电电气(上海)太阳能科技有限公司,中电电气(上海)太阳能科技有限公司,,0,,0,0.0,0.0,0.0,上海市,,,1970-01-01
新生物医药,尾部,山东福牌阿胶股份有限公司,山东福牌阿胶股份有限公司,100~500人,0,,0,0.0,0.0,0.0,济南市,,,1970-01-01
纯互联网,尾部,千翼科技,千翼科技,50人以内,0,,0,0.0,0.0,0.0,沈阳市,,,1970-01-01
纯互联网,尾部,老总国际有限公司,老总国际有限公司,,0,,0,0.0,0.0,0.0,香港,,,1970-01-01
新生物医药,腰部,上海艾力斯医药科技股份有限公司,上海艾力斯医药科技有限公司,50~100人,0,,0,0.0,0.0,0.0,上海市,,,1970-01-01
新生物医药,尾部,江西富祥药业股份有限公司,江西富祥药业股份有限公司,1000~10000人,0,,0,0.0,0.0,0.0,景德镇市,,,1970-01-01
新生物医药,尾部,康泽药业股份有限公司,康泽药业股份有限公司,50人以内,0,,0,0.0,0.0,0.0,广州市,,,1970-01-01
新能源汽车,尾部,湖南中车时代电动汽车股份有限公司,中车电动,1000~10000人,0,,0,0.0,0.0,0.0,株洲市,,,1970-01-01
电子商务&新零售,尾部,杭州倔强文化创意有限公司,杭州倔强文化创意有限公司,50~100人,0,数据分析,1,4135.0,343000.0,1.0,杭州市,,,1970-01-01
纯互联网,尾部,山东易构软件技术股份有限公司,山东易构软件技术股份有限公司,100~500人,0,,0,0.0,0.0,0.0,济南市,,,1970-01-01
企业数字化服务,尾部,广州申迪计算机系统有限公司,申迪计算机,,0,,0,0.0,0.0,0.0,广州市,,,1970-01-01
电子商务&新零售,尾部,杭州微辣企业信息咨询有限公司,杭州微辣企业信息咨询有限公司,100~500人,0,,0,0.0,0.0,0.0,杭州市,,,1970-01-01
游戏,尾部,北京星环互娱科技有限公司,北京星环互娱科技有限公司,50~100人,0,,0,0.0,0.0,0.0,北京市,,,1970-01-01
新金融科技,尾部,深圳前海橙色魔方信息技术有限公司,橙色魔方,500~1000人,0,数据分析,1,2552.0,,1.0,深圳市,,,1970-01-01
电子商务&新零售,尾部,云南九机科技有限公司,九机科技,,0,数据分析,1,1606.0,133000.0,1.0,昆明市,,,1970-01-01
电子商务&新零售,尾部,山东苏宁云商商贸有限公司,山东苏宁云商商贸有限公司,100~500人,0,,0,0.0,0.0,0.0,济南市,,,1970-01-01
企业数字化服务,尾部,北京通通易联科技有限公司,北京通通易联科技有限公司,50~100人,0,,0,0.0,0.0,0.0,北京市,,,1970-01-01
电子商务&新零售,尾部,若羽臣信息科技有限公司,若羽臣信息科技有限公司,500~1000人,0,,0,0.0,0.0,0.0,广州市,,,1970-01-01
新生物医药,尾部,北京满格医药科技有限公司,北京满格医药科技有限公司,50~100人,0,,0,0.0,0.0,0.0,北京市,,,1970-01-01
企业数字化服务,尾部,轩亚（福州）信息技术有限公司,轩亚科技,100~500人,0,,0,0.0,0.0,0.0,福州市,,,1970-01-01
新能源,尾部,常州天合亚邦光能有限公司,常州天合亚邦光能有限公司,100~500人,0,,0,0.0,0.0,0.0,常州市,,,1970-01-01
电子商务&新零售,尾部,西安猫淘网络科技有限公司,西安猫淘网络科技有限公司,100~500人,0,,0,0.0,0.0,0.0,西安市,,,1970-01-01
智能硬件,尾部,余姚舜宇智能光学技术有限公司,余姚舜宇智能光学技术有限公司,100~500人,0,,0,0.0,0.0,0.0,宁波市,,,1970-01-01
电子商务&新零售,尾部,吉林省嗨搜网络科技有限公司,吉林省嗨搜网络科技有限公司,50人以内,0,,0,0.0,0.0,0.0,长春市,,,1970-01-01
新生物医药,尾部,石药集团欧意药业有限公司,欧意药业,1000~10000人,0,,0,0.0,0.0,0.0,石家庄市,,,1970-01-01
新能源汽车,腰部,北京四维智联科技有限公司,四维智联,1000~10000人,0,,0,0.0,0.0,0.0,北京市,,,1970-01-01
新生物医药,尾部,广州恒隆行生物科技有限公司,广州恒隆行生物科技有限公司,,0,,0,0.0,0.0,0.0,,,,1970-01-01
新生物医药,尾部,苏州欧微康生物医药科技有限公司,苏州欧微康生物医药科技有限公司,50人以内,0,,0,0.0,0.0,0.0,苏州市,,,1970-01-01
企业数字化服务,尾部,北京智盟信通科技有限公司,北京智盟信通科技有限公司,500-1000人,0,数据分析,1,1851.0,105000.0,1.0,北京市,,,1970-01-01
新能源汽车,尾部,天能电池集团（安徽）有限公司,天能电池集团（安徽）有限公司,1000~10000人,0,,0,0.0,0.0,0.0,阜阳市,,,1970-01-01
新金融科技,尾部,北京比财数据科技有限公司,北京比财数据科技有限公司,100~500人,0,,0,0.0,0.0,0.0,北京市,,,1970-01-01
纯互联网,尾部,成都爱奇艺科技有限公司,成都爱奇艺科技有限公司,,0,,0,0.0,0.0,0.0,成都市,,,1970-01-01
电子商务&新零售,尾部,深圳市前海汇流信息科技有限公司,深圳市前海汇流信息科技有限公司,100~500人,0,,0,0.0,0.0,0.0,深圳市,,,1970-01-01
企业数字化服务,腰部,新奥数能科技有限公司,新奥数能,100~500人,0,数据分析,7,2764.285714285714,396202.3333333333,2.142857142857143,北京市,,,1970-01-01
新能源,尾部,协鑫新能源控股有限公司江苏分公司,协鑫新能源控股有限公司江苏分公司,,0,,0,0.0,0.0,0.0,苏州市,,,1970-01-01
纯互联网,尾部,北京车智汇通信息技术有限公司,北京车智汇通信息技术有限公司,50~100人,0,,0,0.0,0.0,0.0,北京市,,,1970-01-01
新生物医药,尾部,丹纳赫(上海)工业仪器技术研发有限公司,丹纳赫(上海)工业仪器技术研发有限公司,50~100人,0,,0,0.0,0.0,0.0,上海市,,,1970-01-01
